Class,no of chars,No of capitalised words,No of words with all caps,Single digits,more than one Digits,single letters,only letters,letters and numbers,single chars,Ratio to upper to lower chars,Ratio of upper to all chars,Ratio of Digits to all chars,Ration of non alphanumeric to all chars,Count of max repeating char,max of character lengths,minimum char diversity
0,106,4,2,0,0,0,1,2,0,0.37735849056603776,0.18867924528301888,0.05660377358490566,0.25471698113207547,4,31,1.6774193548387095
0,26,3,1,0,0,0,2,0,0,0.42857142857142855,0.23076923076923078,0.0,0.23076923076923078,1,9,1.5
0,27,2,0,0,0,0,0,0,0,0.1875,0.1111111111111111,0.0,0.2962962962962963,1,14,1.3571428571428572
0,17,2,0,0,0,0,0,0,0,0.375,0.17647058823529413,0.0,0.35294117647058826,1,7,1.5714285714285712
0,43,5,0,0,0,0,2,0,0,0.24,0.13953488372093023,0.0,0.27906976744186046,1,13,1.6923076923076923
0,72,4,2,0,0,0,0,1,0,0.36666666666666664,0.1527777777777778,0.19444444444444445,0.2361111111111111,2,37,1.2162162162162162
0,62,2,2,0,0,0,1,1,0,0.2962962962962963,0.12903225806451613,0.1935483870967742,0.24193548387096775,2,36,1.1666666666666667
0,109,2,2,0,0,0,0,2,0,0.16,0.07339449541284404,0.14678899082568808,0.3211009174311927,4,40,1.575
0,52,2,2,0,0,0,1,1,0,0.2962962962962963,0.15384615384615385,0.11538461538461539,0.21153846153846154,2,26,1.2307692307692308
0,86,2,2,0,0,0,0,2,0,0.2222222222222222,0.09302325581395349,0.20930232558139536,0.27906976744186046,4,25,1.72
0,93,2,2,0,0,0,0,2,0,0.16,0.08602150537634409,0.08602150537634409,0.2903225806451613,4,32,1.59375
0,31,2,0,0,0,0,1,0,0,0.2,0.0967741935483871,0.0967741935483871,0.3225806451612903,1,8,2.0
0,57,4,0,0,0,0,5,0,0,0.12195121951219512,0.08771929824561403,0.0,0.19298245614035087,2,12,1.9166666666666665
0,60,3,0,0,0,0,3,0,0,0.10810810810810811,0.06666666666666667,0.06666666666666667,0.25,2,14,1.8571428571428572
0,91,3,0,0,0,0,6,0,0,0.06153846153846154,0.04395604395604396,0.04395604395604396,0.1978021978021978,4,14,2.2142857142857144
0,49,4,0,0,0,0,2,0,0,0.28,0.14285714285714285,0.08163265306122448,0.2653061224489796,2,12,1.9166666666666665
0,91,3,0,0,0,0,6,0,0,0.06153846153846154,0.04395604395604396,0.04395604395604396,0.1978021978021978,4,14,2.2142857142857144
0,52,3,1,0,0,0,3,0,0,0.35714285714285715,0.19230769230769232,0.057692307692307696,0.21153846153846154,2,14,1.7142857142857144
0,41,3,1,0,0,0,1,0,0,0.625,0.24390243902439024,0.07317073170731707,0.2926829268292683,1,9,2.111111111111111
0,44,3,1,0,0,0,1,0,0,1.0,0.3409090909090909,0.06818181818181818,0.25,2,13,1.7692307692307692
0,50,3,0,0,0,1,3,0,0,0.13793103448275862,0.08,0.08,0.26,1,16,1.75
0,45,2,0,0,0,1,3,0,0,0.1111111111111111,0.06666666666666667,0.08888888888888889,0.24444444444444444,1,16,1.625
0,43,4,1,0,0,0,4,0,0,0.35,0.16279069767441862,0.09302325581395349,0.27906976744186046,1,7,2.4285714285714284
0,38,3,1,0,0,0,4,0,0,0.3333333333333333,0.15789473684210525,0.10526315789473684,0.2631578947368421,1,7,2.142857142857143
0,50,5,1,0,0,0,2,0,0,1.4615384615384615,0.38,0.08,0.28,1,17,1.6470588235294117
0,50,2,0,0,0,0,2,0,0,0.08108108108108109,0.06,0.0,0.2,2,15,1.6
0,26,2,0,0,0,0,0,1,0,0.21428571428571427,0.11538461538461539,0.038461538461538464,0.3076923076923077,1,8,1.75
0,60,2,0,0,0,0,8,0,0,0.06818181818181818,0.05,0.0,0.21666666666666667,2,8,2.375
0,33,4,1,0,0,0,3,0,0,0.6363636363636364,0.21212121212121213,0.09090909090909091,0.36363636363636365,1,8,2.25
0,36,5,2,0,0,0,4,0,0,0.42857142857142855,0.25,0.0,0.16666666666666666,1,12,1.5
0,47,3,0,0,0,0,4,0,0,0.11764705882352941,0.0851063829787234,0.0,0.19148936170212766,2,11,1.7000000000000002
0,38,4,0,0,0,0,5,0,0,0.19230769230769232,0.13157894736842105,0.0,0.18421052631578946,1,9,1.7142857142857142
0,47,6,0,0,0,0,5,0,0,0.25925925925925924,0.14893617021276595,0.0,0.2765957446808511,3,7,2.571428571428571
0,59,4,2,0,0,0,1,0,0,0.7083333333333334,0.288135593220339,0.05084745762711865,0.2542372881355932,2,10,2.4
0,32,5,1,0,0,0,1,0,0,0.5833333333333334,0.21875,0.0,0.40625,2,8,2.375
0,62,3,1,0,0,0,8,0,0,0.17142857142857143,0.0967741935483871,0.06451612903225806,0.27419354838709675,1,7,3.1428571428571423
0,43,4,0,0,0,0,3,0,0,0.3333333333333333,0.18604651162790697,0.0,0.2558139534883721,1,9,2.111111111111111
0,45,3,0,0,0,1,6,0,0,0.12903225806451613,0.08888888888888889,0.0,0.2222222222222222,2,8,2.0
0,39,5,0,0,0,0,5,0,0,0.25,0.15384615384615385,0.0,0.23076923076923078,2,8,1.875
0,65,2,0,0,0,0,6,0,0,0.07142857142857142,0.046153846153846156,0.09230769230769231,0.2153846153846154,2,10,2.4
0,53,2,0,0,0,0,6,0,0,0.045454545454545456,0.03773584905660377,0.0,0.1320754716981132,2,11,1.6363636363636362
0,51,4,0,0,0,0,4,0,0,0.14285714285714285,0.09803921568627451,0.0,0.21568627450980393,2,11,1.9000000000000001
0,54,3,0,0,0,0,4,0,0,0.10526315789473684,0.07407407407407407,0.0,0.2222222222222222,2,12,1.9166666666666665
0,49,2,0,0,0,0,4,0,0,0.08333333333333333,0.061224489795918366,0.0,0.20408163265306123,2,12,1.75
0,50,2,0,0,0,0,4,0,0,0.08333333333333333,0.06,0.0,0.22,2,12,1.8333333333333333
0,37,3,1,0,0,0,3,0,0,0.16,0.10810810810810811,0.0,0.21621621621621623,1,13,1.3846153846153846
0,37,3,1,0,0,0,3,0,0,0.16,0.10810810810810811,0.0,0.21621621621621623,1,13,1.3846153846153846
0,60,2,0,0,0,2,8,0,0,0.045454545454545456,0.03333333333333333,0.0,0.23333333333333334,1,13,1.846153846153846
0,31,2,0,0,0,0,0,0,1,0.1111111111111111,0.06451612903225806,0.06451612903225806,0.2903225806451613,1,13,1.4615384615384615
0,48,2,0,0,0,0,6,0,0,0.05405405405405406,0.041666666666666664,0.0,0.1875,1,13,1.4615384615384615
0,52,3,1,0,0,0,6,0,0,0.10810810810810811,0.07692307692307693,0.0,0.21153846153846154,1,13,1.6153846153846154
0,55,3,0,0,0,0,6,1,0,0.07894736842105263,0.05454545454545454,0.01818181818181818,0.23636363636363636,1,13,1.7692307692307692
0,37,2,0,0,0,0,3,0,0,0.06896551724137931,0.05405405405405406,0.0,0.16216216216216217,2,13,1.2307692307692308
0,34,2,0,0,0,0,2,0,0,0.08,0.058823529411764705,0.0,0.20588235294117646,2,13,1.3076923076923075
0,40,1,0,0,0,0,3,0,0,0.03225806451612903,0.025,0.0,0.2,2,13,1.3846153846153846
0,44,2,0,0,0,0,3,0,0,0.0625,0.045454545454545456,0.0,0.22727272727272727,2,13,1.5384615384615383
0,44,2,0,0,0,0,3,0,0,0.0625,0.045454545454545456,0.0,0.22727272727272727,2,13,1.5384615384615383
0,68,5,1,1,0,0,6,1,2,0.1951219512195122,0.11764705882352941,0.029411764705882353,0.25,2,13,2.0769230769230766
0,41,2,0,0,0,0,3,0,1,0.06896551724137931,0.04878048780487805,0.0,0.24390243902439024,1,13,1.5384615384615383
0,63,5,0,0,0,0,5,0,0,0.13157894736842105,0.07936507936507936,0.09523809523809523,0.2222222222222222,2,13,1.846153846153846
0,63,5,0,0,0,0,5,0,0,0.13157894736842105,0.07936507936507936,0.09523809523809523,0.2222222222222222,2,13,1.846153846153846
0,63,5,0,0,0,0,5,0,0,0.13157894736842105,0.07936507936507936,0.09523809523809523,0.2222222222222222,2,13,1.846153846153846
0,63,5,0,0,0,0,5,0,0,0.13157894736842105,0.07936507936507936,0.09523809523809523,0.2222222222222222,2,13,1.846153846153846
0,63,5,0,0,0,0,5,0,0,0.13157894736842105,0.07936507936507936,0.09523809523809523,0.2222222222222222,2,13,1.846153846153846
0,33,3,0,0,0,0,1,1,0,0.13636363636363635,0.09090909090909091,0.030303030303030304,0.21212121212121213,1,13,1.3076923076923075
0,63,5,0,0,0,0,5,0,0,0.13157894736842105,0.07936507936507936,0.09523809523809523,0.2222222222222222,2,13,1.846153846153846
0,63,5,0,0,0,0,5,0,0,0.13157894736842105,0.07936507936507936,0.09523809523809523,0.2222222222222222,2,13,1.846153846153846
0,37,2,1,0,0,0,0,1,0,0.11538461538461539,0.08108108108108109,0.02702702702702703,0.1891891891891892,2,19,1.3076923076923075
0,63,5,0,0,0,0,5,0,0,0.13157894736842105,0.07936507936507936,0.09523809523809523,0.2222222222222222,2,13,1.846153846153846
0,33,1,0,0,0,0,0,1,0,0.038461538461538464,0.030303030303030304,0.030303030303030304,0.15151515151515152,2,19,1.1538461538461537
0,37,2,0,0,0,0,0,1,0,0.07407407407407407,0.05405405405405406,0.02702702702702703,0.1891891891891892,2,19,1.3076923076923075
0,29,2,0,0,0,0,1,1,0,0.09523809523809523,0.06896551724137931,0.034482758620689655,0.1724137931034483,1,13,1.1538461538461537
0,63,5,0,0,0,0,5,0,0,0.13157894736842105,0.07936507936507936,0.09523809523809523,0.2222222222222222,2,13,1.846153846153846
0,63,5,0,0,0,0,5,0,0,0.13157894736842105,0.07936507936507936,0.09523809523809523,0.2222222222222222,2,13,1.846153846153846
0,59,4,0,0,0,0,5,0,0,0.10810810810810811,0.06779661016949153,0.1016949152542373,0.2033898305084746,2,13,1.6923076923076923
0,37,2,0,0,0,0,0,1,0,0.07407407407407407,0.05405405405405406,0.02702702702702703,0.1891891891891892,2,19,1.3076923076923075
0,25,1,0,0,0,0,2,0,0,0.05263157894736842,0.04,0.0,0.2,1,13,1.1538461538461537
0,29,2,0,0,0,0,2,0,0,0.1,0.06896551724137931,0.0,0.2413793103448276,1,13,1.3076923076923075
0,29,2,0,0,0,0,2,0,0,0.1,0.06896551724137931,0.0,0.2413793103448276,1,13,1.3076923076923075
0,29,2,0,0,0,0,2,0,0,0.1,0.06896551724137931,0.0,0.2413793103448276,1,13,1.3076923076923075
0,38,2,0,0,0,0,3,0,0,0.07142857142857142,0.05263157894736842,0.0,0.21052631578947367,1,13,1.3846153846153846
0,18,2,0,0,0,0,0,0,0,0.18181818181818182,0.1111111111111111,0.0,0.2777777777777778,1,13,1.1538461538461537
0,31,2,0,0,0,0,4,0,0,0.09090909090909091,0.06451612903225806,0.0,0.22580645161290322,1,13,1.3076923076923075
0,37,1,0,0,0,0,3,0,0,0.03571428571428571,0.02702702702702703,0.0,0.21621621621621623,1,13,1.3846153846153846
0,38,3,0,0,0,0,2,0,0,0.11538461538461539,0.07894736842105263,0.0,0.23684210526315788,2,13,1.4615384615384615
0,38,5,0,0,0,0,5,0,0,0.2,0.13157894736842105,0.0,0.21052631578947367,1,13,1.3846153846153846
0,27,2,0,0,0,0,2,0,0,0.125,0.07407407407407407,0.0,0.3333333333333333,3,13,1.4615384615384615
0,34,1,0,0,0,0,3,0,0,0.04,0.029411764705882353,0.0,0.23529411764705882,2,13,1.3846153846153846
0,38,2,0,0,0,0,3,0,0,0.07692307692307693,0.05263157894736842,0.0,0.2631578947368421,2,13,1.5384615384615383
0,55,6,1,1,0,0,5,0,1,0.3103448275862069,0.16363636363636364,0.01818181818181818,0.2909090909090909,1,13,2.0
0,56,4,1,0,0,0,3,1,0,0.13513513513513514,0.08928571428571429,0.017857142857142856,0.23214285714285715,1,13,1.7692307692307692
0,51,5,2,0,0,0,2,0,0,0.2413793103448276,0.13725490196078433,0.0,0.29411764705882354,3,13,1.923076923076923
0,29,2,0,1,0,0,2,0,0,0.1111111111111111,0.06896551724137931,0.034482758620689655,0.27586206896551724,1,13,1.3846153846153846
0,77,6,1,0,0,1,8,0,0,0.21739130434782608,0.12987012987012986,0.0,0.2727272727272727,4,13,2.3846153846153846
0,43,3,0,0,0,0,4,0,0,0.0967741935483871,0.06976744186046512,0.0,0.20930232558139536,1,13,1.4615384615384615
0,43,3,0,0,0,0,4,0,0,0.0967741935483871,0.06976744186046512,0.0,0.20930232558139536,1,13,1.4615384615384615
0,34,2,0,0,0,0,3,0,0,0.07692307692307693,0.058823529411764705,0.0,0.17647058823529413,2,13,1.2307692307692308
0,43,2,0,0,0,0,3,0,0,0.06060606060606061,0.046511627906976744,0.0,0.18604651162790697,2,13,1.3846153846153846
0,55,2,0,0,0,0,5,0,0,0.04878048780487805,0.03636363636363636,0.0,0.21818181818181817,1,13,1.6923076923076923
0,53,2,0,0,0,0,4,0,0,0.05405405405405406,0.03773584905660377,0.0,0.2641509433962264,2,13,1.846153846153846
0,56,3,0,0,0,0,4,0,0,0.07894736842105263,0.05357142857142857,0.0,0.26785714285714285,2,13,1.923076923076923
0,49,2,0,0,0,0,3,0,0,0.05263157894736842,0.04081632653061224,0.0,0.1836734693877551,2,18,1.3888888888888888
0,53,3,1,0,0,0,3,0,0,0.10526315789473684,0.07547169811320754,0.0,0.20754716981132076,2,18,1.5
0,36,3,1,0,0,0,3,0,0,0.2631578947368421,0.1388888888888889,0.08333333333333333,0.25,1,13,1.4615384615384615
0,53,3,0,0,0,0,3,0,0,0.07692307692307693,0.05660377358490566,0.0,0.20754716981132076,2,18,1.5
0,53,3,0,0,0,0,3,0,0,0.07692307692307693,0.05660377358490566,0.0,0.20754716981132076,2,18,1.5
0,59,3,0,0,0,0,5,0,0,0.07142857142857142,0.05084745762711865,0.0,0.23728813559322035,1,13,1.846153846153846
0,51,1,0,0,0,0,4,0,0,0.024390243902439025,0.0196078431372549,0.0,0.17647058823529413,1,13,1.4615384615384615
0,55,2,0,0,0,0,4,0,0,0.047619047619047616,0.03636363636363636,0.0,0.2,1,13,1.6153846153846154
0,113,11,5,1,0,0,6,1,0,0.8648648648648649,0.2831858407079646,0.1592920353982301,0.23008849557522124,4,13,2.769230769230769
0,56,4,0,0,0,0,3,1,0,0.17647058823529413,0.10714285714285714,0.017857142857142856,0.26785714285714285,2,13,1.923076923076923
0,38,3,0,0,0,0,2,0,0,0.11538461538461539,0.07894736842105263,0.0,0.23684210526315788,2,13,1.4615384615384615
0,38,3,0,0,0,0,2,0,0,0.11538461538461539,0.07894736842105263,0.0,0.23684210526315788,2,13,1.4615384615384615
0,44,2,0,0,0,0,1,1,0,0.06896551724137931,0.045454545454545456,0.022727272727272728,0.2727272727272727,2,13,1.6923076923076923
0,28,3,0,0,0,0,3,0,0,0.15789473684210525,0.10714285714285714,0.0,0.21428571428571427,1,13,1.2307692307692308
0,32,4,0,0,0,0,3,0,0,0.2,0.125,0.0,0.25,1,13,1.3846153846153846
0,32,4,0,0,0,0,3,0,0,0.2,0.125,0.0,0.25,1,13,1.3846153846153846
0,43,1,0,0,0,0,3,0,1,0.03125,0.023255813953488372,0.0,0.23255813953488372,1,13,1.5384615384615383
